Bairnsdale Power Station,VIC1,NaturalGas,BDL01
Bairnsdale Power Station,VIC1,NaturalGas,BDL02
Bell Bay Three Power Station,TAS1,NaturalGas,BBTHREE1
Bell Bay Three Power Station,TAS1,NaturalGas,BBTHREE2
Bell Bay Three Power Station,TAS1,NaturalGas,BBTHREE3
Bell Bay Three Power Station,TAS1,NaturalGas,TVPP104
Chepstowe Wind Farm,VIC1,Wind,CHPSTWF1
Tamar Valley Combined Cycle Power Station,TAS1,NaturalGas,TVCC201
Tamar Valley Combined Cycle Power Station,TAS1,NaturalGas,TVCC201
Agl Kemps Creek,NSW1,Methane,AGLSITA1
Banimboola Power Station,VIC1,Water,BAPS
Banimboola Power Station,VIC1,Water,BAPS
Bogong / Mackay Power Station,VIC1,Water,MCKAY1
Bogong / Mackay Power Station,VIC1,Water,MCKAY1
Broken Hill Solar Plant,NSW1,Solar,BROKENH1
Burrendong Hydro Power Station,NSW1,Water,BDONGHYD
Clover Power Station,VIC1,Water,CLOVER
Copeton Hydro Power Station,NSW1,Water,COPTNHYD
Dartmouth Power Station,VIC1,Water,DARTM1
Eildon Power Station,VIC1,Water,EILDON1
Eildon Power Station,VIC1,Water,EILDON1
Eildon Power Station,VIC1,Water,EILDON2
Eildon Power Station,VIC1,Water,EILDON2
Glenbawn Hydro Power Station,NSW1,Water,GLBWNHYD
ISIS Central Sugar Mill Co-generation Plant,QLD1,Bagasse,ICSM
Kincumber Landfill Site,NSW1,Methane,KINCUM1
Macarthur Wind Farm,VIC1,Wind,MACARTH1
Moranbah Generation Project,QLD1,CoalSeamMethane,MORANBAH
Nyngan Solar Plant,NSW1,Solar,NYNGAN1
Oaklands Hill Wind Farm,VIC1,Wind,OAKLAND1
Pindari Hydro Power Station,NSW1,Water,PINDARI
Rubicon Mountain Streams Station,VIC1,Solar,RUBICON
Rubicon Mountain Streams Station,VIC1,Solar,RUBICON
Rubicon Mountain Streams Station,VIC1,Solar,RUBICON
Rubicon Mountain Streams Station,VIC1,Solar,RUBICON
Somerton Power Station,VIC1,NaturalGas,AGLSOM
Townsville Gas Turbine,QLD1,NaturalGas,YABULU
Townsville Gas Turbine,QLD1,NaturalGas,YABULU2
West Kiewa Power Station,VIC1,Water,WKIEWA1
West Kiewa Power Station,VIC1,Water,WKIEWA2
West Nowra Landfill Gas Power Generation Facility,NSW1,Methane,AGLNOW1
Woy Woy Landfill Site,NSW1,Methane,WOYWOY1
Yarrawonga Hydro Power Station,VIC1,Water,YWNGAHYD
Loy Yang A Power Station,VIC1,BrownCoal,LYA1
Loy Yang A Power Station,VIC1,BrownCoal,LYA2
Loy Yang A Power Station,VIC1,BrownCoal,LYA3
Loy Yang A Power Station,VIC1,BrownCoal,LYA4
Bayswater Power Station,NSW1,BlackCoal,BW01
Bayswater Power Station,NSW1,BlackCoal,BW02
Bayswater Power Station,NSW1,BlackCoal,BW03
Bayswater Power Station,NSW1,BlackCoal,BW04
Hunter Valley Gas Turbine,NSW1,Kerosene,HVGTS
Liddell Power Station,NSW1,BlackCoal,LD01
Liddell Power Station,NSW1,BlackCoal,LD02
Liddell Power Station,NSW1,BlackCoal,LD03
Liddell Power Station,NSW1,BlackCoal,LD04
Silverton Wind Farm,NSW1,Wind,STWF1
Hallett 1 Wind Farm,SA1,Wind,HALLWF1
Hallett 2 Wind Farm,SA1,Wind,HALLWF2
North Brown Hill Wind Farm,SA1,Wind,NBHWF1
The Bluff Wind Farm,SA1,Wind,BLUFF1
Torrens Island Power Station,SA1,NaturalGasFuelOil,TORRA1
Torrens Island Power Station,SA1,NaturalGasFuelOil,TORRA2
Torrens Island Power Station,SA1,NaturalGasFuelOil,TORRA3
Torrens Island Power Station,SA1,NaturalGasFuelOil,TORRA4
Torrens Island Power Station,SA1,NaturalGasFuelOil,TORRB1
Torrens Island Power Station,SA1,NaturalGasFuelOil,TORRB2
Torrens Island Power Station,SA1,NaturalGasFuelOil,TORRB3
Torrens Island Power Station,SA1,NaturalGasFuelOil,TORRB4
Wattle Point Wind Farm,SA1,Wind,WPWF
Bald Hills Wind Farm,VIC1,Wind,BALDHWF1
Bannerton Solar Park,VIC1,Solar,BANN1
Maroona Wind Farm,VIC1,Wind,MAROOWF1
Timboon West Wind Farm,VIC1,Wind,TIMWEST
Yawong Wind Farm,VIC1,Wind,YAWWF1
Ararat Wind Farm,VIC1,Wind,ARWF1
Ararat Wind Farm,VIC1,Wind,ARWF1
Ararat Wind Farm,VIC1,Wind,ARWF1
Daandine Power Station,QLD1,CoalSeamMethane,DAANDINE
Braemar 2 Power Station,QLD1,CoalSeamMethane,BRAEMAR5
Braemar 2 Power Station,QLD1,CoalSeamMethane,BRAEMAR6
Braemar 2 Power Station,QLD1,CoalSeamMethane,BRAEMAR7
Basslink HVDC Link,TAS1,Grid,BLNKTAS
Basslink HVDC Link,VIC1,Grid,BLNKVIC
Boco Rock Wind Farm,NSW1,Wind,BOCORWF1
Boco Rock Wind Farm,NSW1,Wind,BOCORWF1
Braemar Power Station,QLD1,CoalSeamMethane,BRAEMAR1
Braemar Power Station,QLD1,CoalSeamMethane,BRAEMAR2
Braemar Power Station,QLD1,CoalSeamMethane,BRAEMAR3
Collinsville Solar PV Power Station,QLD1,Solar,CSPVPS
Callide C Nett Off,QLD1,BlackCoal,CPP_3
Callide C Nett Off,QLD1,BlackCoal,CPP_4
Canunda Wind Farm,SA1,Wind,CNUNDAWF
Broadwater Power Station,NSW1,Bagasse,BWTR1
Broadwater Power Station,NSW1,Bagasse,BWTR1
Condong Power Station,NSW1,Bagasse,CONDONG1
Cathedral Rocks,SA1,Wind,CATHROCK
Clare Solar Farm,QLD1,Solar,CLARESF1
Coleambally Solar Farm,NSW1,Solar,COLEASF1
Coonooer Bridge Wind Farm,VIC1,Wind,CBWF1
Callide Power Station,QLD1,BlackCoal,CALL_A_4
Callide Power Station,QLD1,BlackCoal,CALL_B_1
Callide Power Station,QLD1,BlackCoal,CALL_B_2
Gladstone Power Station,QLD1,BlackCoal,GSTONE1
Gladstone Power Station,QLD1,BlackCoal,GSTONE2
Gladstone Power Station,QLD1,BlackCoal,GSTONE3
Gladstone Power Station,QLD1,BlackCoal,GSTONE4
Gladstone Power Station,QLD1,BlackCoal,GSTONE5
Gladstone Power Station,QLD1,BlackCoal,GSTONE6
Kogan Creek Power Station,QLD1,BlackCoal,KPP_1
Wivenhoe Power Station,QLD1,Grid,PUMP1
Wivenhoe Power Station,QLD1,Grid,PUMP2
Wivenhoe Power Station,QLD1,Water,W_HOE_1
Wivenhoe Power Station,QLD1,Water,W_HOE_2
Cullerin Range Wind Farm,NSW1,Wind,CULLRGWF
"Darling Downs Solar Farm, Units 1-44 ",QLD1,Solar,DDSF1
Daydream Solar Farm,QLD1,Solar,DAYDSF1
Daydream Solar Farm,QLD1,Solar,DAYDSF2
"Vales Point ""B"" Power Station",NSW1,BlackCoal,VP5
"Vales Point ""B"" Power Station",NSW1,BlackCoal,VP6
"Baking Board Solar Farm, Units 1-7",QLD1,Solar,BAKING1
Barcaldine Solar Farm,QLD1,Solar,BARCSF1
Longreach Solar Farm,QLD1,Solar,LRSF1
Shepparton Wastewater Treatment Facility,VIC1,SewerageWasteWater,SHEP1
Tatura Biomass Generator,VIC1,SewerageWasteWater,TATURA01
Valdora Solar Farm,QLD1,Solar,VALDORA1
Narromine Solar Farm,NSW1,Solar,NASF1
South Keswick Solar Farm,NSW1,Solar,SKSF1
"Jeeralang ""A"" Power Station",VIC1,NaturalGas,JLA01
"Jeeralang ""A"" Power Station",VIC1,NaturalGas,JLA02
"Jeeralang ""A"" Power Station",VIC1,NaturalGas,JLA03
"Jeeralang ""A"" Power Station",VIC1,NaturalGas,JLA04
"Jeeralang ""B"" Power Station",VIC1,NaturalGas,JLB01
"Jeeralang ""B"" Power Station",VIC1,NaturalGas,JLB02
"Jeeralang ""B"" Power Station",VIC1,NaturalGas,JLB03
Newport Power Station,VIC1,NaturalGas,NPS
Glennies Creek Power Station,NSW1,WasteCoalMineGas,GLENNCRK
Oaky Creek 2,QLD1,WasteCoalMineGas,OAKY2
Oaky Creek Power Station,QLD1,CoalSeamMethane,OAKYCREK
Oaky Creek Power Station,QLD1,CoalSeamMethane,OAKYCREK
Tahmoor Waste Coal Mine Gas Power Station,NSW1,WasteCoalMineGas,TAHMOOR1
Teralba Power Station,NSW1,WasteCoalMineGas,TERALBA
German Creek Power Station,QLD1,WasteCoalMineGas,GERMCRK
German Creek Power Station,QLD1,WasteCoalMineGas,GERMCRK
Berwick Power Plant,VIC1,LandfillMethaneLandfillGas,BERWICK
Eastern Creek LFG PS Units 1-4,NSW1,LandfillMethaneLandfillGas,EASTCRK
Grange Avenue Landfill Gas Power Station,NSW1,LandfillMethaneLandfillGas,GRANGEAV
Jacks Gully Landfill Gas Power Station,NSW1,LandfillMethaneLandfillGas,JACKSGUL
Lucas Heights 2 Power Station,NSW1,LandfillMethaneLandfillGas,LUCAS2S2
Lucas Heights 2 Power Station,NSW1,LandfillMethaneLandfillGas,LUCASHGT
Browns Plains Landfill Gas PS,QLD1,LandfillMethaneLandfillGas,BPLANDF1
Roghan Road LFG Power Plant,QLD1,Bagasse,EDLRGNRD
Wingfield 1 Landfill Gas Power Station,SA1,LandfillMethaneLandfillGas,WINGF1_1
Wingfield 2 Landfill Gas Power Station,SA1,LandfillMethaneLandfillGas,WINGF2_1
Broadmeadows Landfill Gas Power Station,VIC1,LandfillMethaneLandfillGas,BROADMDW
Brooklyn LFG U1-3,VIC1,LandfillMethaneLandfillGas,BROOKLYN
Brooklyn LFG U1-3,VIC1,LandfillMethaneLandfillGas,BROOKLYN
Brooklyn LFG U1-3,VIC1,LandfillMethaneLandfillGas,BROOKLYN
Clayton Landfill Gas Power Station,VIC1,LandfillMethaneLandfillGas,CLAYTON
Corio Landfill Gas Power Station,VIC1,LandfillMethaneLandfillGas,CORIO1
Springvale Landfill Gas Power Station,VIC1,LandfillMethaneLandfillGas,SVALE1
Grosvenor 1 Waste Coal Mine Gas Power Station,QLD1,WasteCoalMineGas,GROSV1
Grosvenor 2,QLD1,WasteCoalMineGas,GROSV2
Moranbah North Waste Coal Mine Gas Power Station,QLD1,WasteCoalMineGas,MBAHNTH
Codrington Wind Farm,VIC1,Wind,CODRNGTON
Yambuk Wind Farm,VIC1,Wind,YAMBUKWF
Ballarat Battery Energy Storage System,VIC1,Battery,BALBG1
Ballarat Battery Energy Storage System,VIC1,Grid,BALBL1
Gannawarra Energy Storage System,VIC1,Battery,GANNBG1
Gannawarra Energy Storage System,VIC1,Grid,GANNBL1
Mornington Waste Disposal Facility,VIC1,LandfillMethaneLandfillGas,MORNW
Mt Piper Power Station,NSW1,BlackCoal,MP1
Mt Piper Power Station,NSW1,BlackCoal,MP2
Tallawarra Power Station,NSW1,NaturalGas,TALWA1
Woodlawn Bioreactor Energy Generation Station,NSW1,LandfillMethaneLandfillGas,WDLNGN01
Woodlawn Bioreactor Energy Generation Station,NSW1,LandfillMethaneLandfillGas,WDLNGN01
Wyndham Waste Disposal Facility,VIC1,LandfillMethaneLandfillGas,WYNDW
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Hallett Power Station,SA1,NaturalGasDiesel,AGLHAL
Yallourn 'W' Power Station,VIC1,BrownCoal,YWPS1
Yallourn 'W' Power Station,VIC1,BrownCoal,YWPS2
Yallourn 'W' Power Station,VIC1,BrownCoal,YWPS3
Yallourn 'W' Power Station,VIC1,BrownCoal,YWPS4
Ballarat Base Hospital Plant,VIC1,NaturalGas,BBASEHOS
Ballarat Base Hospital Plant,VIC1,Diesel,BBASEHOS
Nine Network Willoughby Plant,NSW1,Diesel,NINEWIL1
Tataria Bordertown Plant,SA1,Diesel,TATIARA1
West Illawarra Leagues Club Plant,NSW1,Diesel,WESTILL1
West Illawarra Leagues Club Plant,NSW1,Diesel,WESTILL1
Western Suburbs League Club (Campbelltown) Plant,NSW1,Diesel,WESTCBT1
Barcaldine Power Station,QLD1,NaturalGas,BARCALDN
Mount Emerald Wind Farm,QLD1,Wind,MEWF1
Mount Emerald Wind Farm,QLD1,Wind,MEWF1
Oakey Power Station,QLD1,NaturalGas,OAKEY1
Oakey Power Station,QLD1,NaturalGas,OAKEY2
Broken Hill Gas Turbines,NSW1,Diesel,GB01
Gannawarra Solar Farm,VIC1,Solar,GANNSF1
Kidston Solar Project,QLD1,Solar,KSP1
Dalrymple North Battery Energy Storage System,SA1,Battery,DALNTH01
Dalrymple North Battery Energy Storage System,SA1,Grid,DALNTHL1
Griffith Solar Farm,NSW1,Solar,GRIFSF1
Burrinjuck Hydro Power Station,NSW1,Water,BURRIN
Burrinjuck Hydro Power Station,NSW1,Water,BURRIN
Hume (NSW) Hydro Power Station,NSW1,Water,HUMENSW
Hume (Vic) Hydro Power Station,VIC1,Water,HUMEV
Keepit Hydro Power Station,NSW1,Water,KEEPIT
Gunning Wind Farm,NSW1,Wind,GUNNING1
Hamilton Solar Farm,QLD1,Solar,HAMISF1
Hayman Solar Farm,QLD1,Solar,HAYMSF1
Hornsdale Power Reserve,SA1,Battery,HPRG1
Hornsdale Power Reserve,SA1,Grid,HPRL1
Hughenden Solar Farm,QLD1,Solar,HUGSF1
Hornsdale Wind Farm 2,SA1,Wind,HDWF2
Hornsdale Wind Farm,SA1,Wind,HDWF1
Hornsdale Wind Farm 3,SA1,Wind,HDWF3
Brown Mountain Hydro Power Station,NSW1,Water,BROWNMT
Brown Mountain Hydro Power Station,NSW1,Water,BROWNMT
Brown Mountain Hydro Power Station,NSW1,Water,BROWNMT
Brown Mountain Hydro Power Station,NSW1,Water,BROWNMT
Wyangala A Power Station,NSW1,Water,WYANGALA
Wyangala B Power Station,NSW1,Water,WYANGALB
Bastyan Power Station,TAS1,Water,BASTYAN
Butlers Gorge Power Station,TAS1,Water,BUTLERSG
Catagunya / Liapootah / Wayatinah Power Station,TAS1,Water,LI_WY_CA
Catagunya / Liapootah / Wayatinah Power Station,TAS1,Water,LI_WY_CA
Catagunya / Liapootah / Wayatinah Power Station,TAS1,Water,LI_WY_CA
Cethana Power Station,TAS1,Water,CETHANA
Cluny Power Station,TAS1,Water,CLUNY
